Dates,MXEU Index_Last,MXEU Index_Open,MXEU Index_High,MXEU Index_Low,MXEU Index_Volume
1998-01-14,,82.69,82.69,82.69,939103744
1998-01-15,,82.96,82.96,82.96,880997952
1998-01-16,,84.12,84.12,84.12,1176887808
1998-01-19,,84.77,84.77,84.77,937586496
1998-01-20,,85.13,85.13,85.13,1013628224
1998-01-21,,84.94,84.94,84.94,1095538176
1998-01-22,,84.45,84.45,84.45,967332096
1998-01-23,,83.9,83.9,83.9,947935680
1998-01-26,,84.39,84.39,84.39,666826112
1998-01-27,,85.34,85.34,85.34,773980032
1998-01-28,,86.46,86.46,86.46,1003620288
1998-01-29,,87.02,87.02,87.02,859760000
1998-01-30,,87.57,87.57,87.57,888863680
1998-02-02,,89.09,89.09,89.09,999057728
1998-02-03,,89.16,89.16,89.16,909185536
1998-02-04,,88.91,88.91,88.91,819537856
1998-02-05,,89.45,89.45,89.45,1090855808
1998-02-06,,89.73,89.73,89.73,743449280
1998-02-09,,89.8,89.8,89.8,704798144
1998-02-10,,89.92,89.92,89.92,867230912
1998-02-11,,90.32,90.32,90.32,943197888
1998-02-12,,89.46,89.46,89.46,851394112
1998-02-13,,89.64,89.64,89.64,811869184
1998-02-16,,90.3,90.3,90.3,599438528
1998-02-17,,91.63,91.63,91.63,941766400
1998-02-18,,91.85,91.85,91.85,884457920
1998-02-19,,91.44,91.44,91.44,825172800
1998-02-20,,91.74,91.74,91.74,806859840
1998-02-23,,91.92,91.92,91.92,737387904
1998-02-24,,91.33,91.33,91.33,759294336
1998-02-25,,92.8,92.8,92.8,868963008
1998-02-26,,93.34,93.34,93.34,912958016
1998-02-27,,93.67,93.67,93.67,814880896
1998-03-02,,94.78,94.78,94.78,952242624
1998-03-03,,94.58,94.58,94.58,988687872
1998-03-04,,93.64,93.64,93.64,983735552
1998-03-05,,93,93,93,960390656
1998-03-06,,94.8,94.8,94.8,938638464
1998-03-09,,95.47,95.47,95.47,926489216
1998-03-10,,95.89,95.89,95.89,959721408
1998-03-11,,96.18,96.18,96.18,854942336
1998-03-12,,96.02,96.02,96.02,882176000
1998-03-13,,96.67,96.67,96.67,1023719872
1998-03-16,,96.93,96.93,96.93,909934912
1998-03-17,,97.75,97.75,97.75,1093065216
1998-03-18,,97.58,97.58,97.58,990994880
1998-03-19,,98.43,98.43,98.43,824178048
1998-03-20,,99.12,99.12,99.12,1332296832
1998-03-23,,99.34,99.34,99.34,993826560
1998-03-24,,100.17,100.17,100.17,1000388224
1998-03-25,,101.07,101.07,101.07,1241974528
1998-03-26,,100.04,100.04,100.04,1000405760
1998-03-27,,100.77,100.77,100.77,995928192
1998-03-30,,100.43,100.43,100.43,718209536
1998-03-31,,101.07,101.07,101.07,908841024
1998-04-01,,102.17,102.17,102.17,1078955136
1998-04-02,,102.87,102.87,102.87,1079167616
1998-04-03,,103.57,103.57,103.57,1227024640
1998-04-06,,104.84,104.84,104.84,937885440
1998-04-07,,104.25,104.25,104.25,1104431360
1998-04-08,,103.05,103.05,103.05,1207653248
1998-04-09,,103.46,103.46,103.46,955246208
1998-04-10,,103.56,103.56,103.56,196721248
1998-04-13,,103.56,103.56,103.56,196721248
1998-04-14,,104.02,104.02,104.02,864371392
1998-04-15,,104.16,104.16,104.16,831852416
1998-04-16,,102.81,102.81,102.81,883738048
1998-04-17,,102.38,102.38,102.38,941503040
1998-04-20,,103.39,103.39,103.39,662254400
1998-04-21,,103.23,103.23,103.23,821964352
1998-04-22,,102.66,102.66,102.66,933995456
1998-04-23,,101.49,101.49,101.49,971126208
1998-04-24,,100.47,100.47,100.47,964123840
1998-04-27,,97.73,97.73,97.73,982416960
1998-04-28,,99.26,99.26,99.26,1020971840
1998-04-29,,99.22,99.22,99.22,863934400
1998-04-30,,100.97,100.97,100.97,806281344
1998-05-01,,101.8,101.8,101.8,367024224
1998-05-04,,103.81,103.81,103.81,429478464
1998-05-05,,102.85,102.85,102.85,698389440
1998-05-06,,102.9,102.9,102.9,768101056
1998-05-07,,101.83,101.83,101.83,795868160
1998-05-08,,102.54,102.54,102.54,688777664
1998-05-11,,104.16,104.16,104.16,1679456128
1998-05-12,,103.12,103.12,103.12,656226176
1998-05-13,,103.29,103.29,103.29,758239552
1998-05-14,,103,103,103,785005184
1998-05-15,,102.88,102.88,102.88,869954432
1998-05-18,,101.39,101.39,101.39,687526912
1998-05-19,,102.56,102.56,102.56,843224896
1998-05-20,,103.45,103.45,103.45,855141184
1998-05-21,,103.7,103.7,103.7,570771776
1998-05-22,,104.12,104.12,104.12,716996352
1998-05-25,,105.07,105.07,105.07,354633888
1998-05-26,,105.46,105.46,105.46,806026048
1998-05-27,,103.24,103.24,103.24,802161344
1998-05-28,,102.86,102.86,102.86,740562560
1998-05-29,,103.2,103.2,103.2,700884032
1998-06-01,,102.87,102.87,102.87,399386464
1998-06-02,,103.28,103.28,103.28,593998848
1998-06-03,,103.88,103.88,103.88,707701184
1998-06-04,,103.32,103.32,103.32,634461184
1998-06-05,,104.86,104.86,104.86,713695104
1998-06-08,,106.12,106.12,106.12,702255296
1998-06-09,,105.68,105.68,105.68,721659328
1998-06-10,,105.41,105.41,105.41,654027648
1998-06-11,,103.93,103.93,103.93,691645184
1998-06-12,,102.25,102.25,102.25,797552320
1998-06-15,,100.69,100.69,100.69,761967424
1998-06-16,,101.15,101.15,101.15,783545280
1998-06-17,,103.08,103.08,103.08,872495360
1998-06-18,,102.32,102.32,102.32,746129984
1998-06-19,,101.75,101.75,101.75,1048414336
1998-06-22,,101.14,101.14,101.14,591044032
1998-06-23,,102.2,102.2,102.2,721264896
1998-06-24,,102.72,102.72,102.72,685023168
1998-06-25,,104.23,104.23,104.23,979983296
1998-06-26,,104.4,104.4,104.4,651043200
1998-06-29,,105.08,105.08,105.08,721348736
1998-06-30,,104.53,104.53,104.53,905408192
1998-07-01,,106.02,106.02,106.02,858455680
1998-07-02,,106.48,106.48,106.48,1073075840
1998-07-03,,107.28,107.28,107.28,686264256
1998-07-06,,107.46,107.46,107.46,921587968
1998-07-07,,107.83,107.83,107.83,842889280
1998-07-08,,108.36,108.36,108.36,856140288
1998-07-09,,107.97,107.97,107.97,934248192
1998-07-10,,107.36,107.36,107.36,742393472
1998-07-13,,107.86,107.86,107.86,561477312
1998-07-14,,109.17,109.17,109.17,909158400
1998-07-15,,109.88,109.88,109.88,901405120
1998-07-16,,109.58,109.58,109.58,993621376
1998-07-17,,110.8,110.8,110.8,922520000
1998-07-20,,111.24,111.24,111.24,681664000
1998-07-21,,110.59,110.59,110.59,723795328
1998-07-22,,108.87,108.87,108.87,845994048
1998-07-23,,108.38,108.38,108.38,893875392
1998-07-24,,107.58,107.58,107.58,1072736384
1998-07-27,,105.88,105.88,105.88,785659200
1998-07-28,,105.88,105.88,105.88,829393664
1998-07-29,,105.68,105.68,105.68,802737920
1998-07-30,,106.75,106.75,106.75,768523200
1998-07-31,,106.02,106.02,106.02,851647744
1998-08-03,,104.73,104.73,104.73,651890688
1998-08-04,,104.32,104.32,104.32,761656512
1998-08-05,,102.12,102.12,102.12,932569984
1998-08-06,,100.87,100.87,100.87,860439744
1998-08-07,,102.36,102.36,102.36,722911296
1998-08-10,,100.49,100.49,100.49,527360448
1998-08-11,,97.49,97.49,97.49,1042919552
1998-08-12,,98.91,98.91,98.91,813701888
1998-08-13,,98.2,98.2,98.2,834670144
1998-08-14,,99.35,99.35,99.35,743679808
1998-08-17,,99.36,99.36,99.36,597882048
1998-08-18,,102.22,102.22,102.22,806559040
1998-08-19,,102.62,102.62,102.62,795349888
1998-08-20,,101.5,101.5,101.5,657550080
1998-08-21,,97.53,97.53,97.53,897721152
1998-08-24,,97.78,97.78,97.78,634326976
1998-08-25,,99.7,99.7,99.7,702215680
1998-08-26,,97.42,97.42,97.42,756230272
1998-08-27,,93.9,93.9,93.9,1094979328
1998-08-28,,92.3,92.3,92.3,1335875840
1998-08-31,,91.31,91.31,91.31,388325312
1998-09-01,,90.05,90.05,90.05,1120265984
1998-09-02,,92.27,92.27,92.27,1014433024
1998-09-03,,90.06,90.06,90.06,937455744
1998-09-04,,90.68,90.68,90.68,851743488
1998-09-07,,92.59,92.59,92.59,752315072
1998-09-08,,94.34,94.34,94.34,960422144
1998-09-09,,93.07,93.07,93.07,1207146752
1998-09-10,,88.94,88.94,88.94,1169319808
1998-09-11,,88.43,88.43,88.43,1281161088
1998-09-14,,91.1,91.1,91.1,985938560
1998-09-15,,90.45,90.45,90.45,822313792
1998-09-16,,91.18,91.18,91.18,1011951360
1998-09-17,,87.7,87.7,87.7,1003081536
1998-09-18,,86.33,86.33,86.33,1409887104
1998-09-21,,83.62,83.62,83.62,906959168
1998-09-22,,85.48,85.48,85.48,891270272
1998-09-23,,87.63,87.63,87.63,1037554048
1998-09-24,,86.81,86.81,86.81,1147404800
1998-09-25,,85.4,85.4,85.4,983732608
1998-09-28,,86.51,86.51,86.51,840937536
1998-09-29,,86.1,86.1,86.1,946130816
1998-09-30,,84.11,84.11,84.11,904618304
1998-10-01,,80.56,80.56,80.56,1169249792
1998-10-02,,78.12,78.12,78.12,1194987776
1998-10-05,,77.03,77.03,77.03,926170240
1998-10-06,,80.43,80.43,80.43,1161106816
1998-10-07,,79.52,79.52,79.52,1163772544
1998-10-08,,76.66,76.66,76.66,1060281600
1998-10-09,,78.47,78.47,78.47,1113549696
1998-10-12,,82.67,82.67,82.67,1000542720
1998-10-13,,83.05,83.05,83.05,988669824
1998-10-14,,84.57,84.57,84.57,986284416
1998-10-15,,85.33,85.33,85.33,1096100992
1998-10-16,,86.65,86.65,86.65,1281410432
1998-10-19,,86.17,86.17,86.17,792818880
1998-10-20,,88.57,88.57,88.57,1120950528
1998-10-21,,87.48,87.48,87.48,1095753728
1998-10-22,,87.27,87.27,87.27,984166336
1998-10-23,,87.33,87.33,87.33,758430848
1998-10-26,,88.12,88.12,88.12,722504320
1998-10-27,,90.12,90.12,90.12,923456832
1998-10-28,,88.63,88.63,88.63,748522368
1998-10-29,,88.91,88.91,88.91,830086016
1998-10-30,,90.48,90.48,90.48,825241024
1998-11-02,,92.33,92.33,92.33,854334528
1998-11-03,,91.99,91.99,91.99,941359552
1998-11-04,,94.04,94.04,94.04,1137397632
1998-11-05,,92.36,92.36,92.36,972612736
1998-11-06,,92.68,92.68,92.68,854143872
1998-11-09,,91.99,91.99,91.99,659459392
1998-11-10,,91.12,91.12,91.12,814455360
1998-11-11,,91.87,91.87,91.87,774055616
1998-11-12,,91.54,91.54,91.54,821068416
1998-11-13,,91.47,91.47,91.47,745337600
1998-11-16,,92.93,92.93,92.93,776486400
1998-11-17,,92.44,92.44,92.44,768559296
1998-11-18,,92.46,92.46,92.46,801641664
1998-11-19,,94.31,94.31,94.31,909919168
1998-11-20,,96.24,96.24,96.24,979238464
1998-11-23,,98.11,98.11,98.11,960046848
1998-11-24,,97.29,97.29,97.29,1002826944
1998-11-25,,96.94,96.94,96.94,828302272
1998-11-26,,98.55,98.55,98.55,889405568
1998-11-27,,99.2,99.2,99.2,921855680
1998-11-30,,97.1,97.1,97.1,1015672704
1998-12-01,,93.58,93.58,93.58,1204418432
1998-12-02,,92.79,92.79,92.79,1057514560
1998-12-03,,93.89,93.89,93.89,1200159616
1998-12-04,,94.32,94.32,94.32,893790272
1998-12-07,,94.5,94.5,94.5,643811264
1998-12-08,,94.64,94.64,94.64,528301600
1998-12-09,,95.2,95.2,95.2,949091008
1998-12-10,,94.54,94.54,94.54,1052152896
1998-12-11,,93.02,93.02,93.02,1002512704
1998-12-14,,92.71,92.71,92.71,776566400
1998-12-15,,93.39,93.39,93.39,827095232
1998-12-16,,94.65,94.65,94.65,975853504
1998-12-17,,95.73,95.73,95.73,844256832
1998-12-18,,95.48,95.48,95.48,1034849664
1998-12-21,,97.94,97.94,97.94,642208576
1998-12-22,,97.97,97.97,97.97,600066368
1998-12-23,,99.49,99.49,99.49,528125824
1998-12-24,,99.39,99.39,99.39,50164868
1998-12-25,,99.39,99.39,99.39,50164868
1998-12-28,,100.2,100.2,100.2,337617536
1998-12-29,,100.42,100.42,100.42,403699232
1998-12-30,,100,100,100,334200480
1998-12-31,100,100,100,100,334200480
1999-01-01,100,100,100,100,28000
1999-01-04,103.06,103.06,103.06,103.06,1101993216
1999-01-05,104.3,104.3,104.3,104.3,1059939968
1999-01-06,106.68,106.68,106.68,106.68,717219712
1999-01-07,105.39,105.39,105.39,105.39,1466172800
1999-01-08,106.02,106.02,106.02,106.02,1120373504
1999-01-11,104.5,104.5,104.5,104.5,866286208
1999-01-12,103.03,103.03,103.03,103.03,1157916672
1999-01-13,98.99,98.99,98.99,98.99,1560379264
1999-01-14,99.22,99.22,99.22,99.22,1370638592
1999-01-15,100.88,100.88,100.88,100.88,1355732992
1999-01-18,103.12,103.12,103.12,103.12,1104536832
1999-01-19,102.73,102.73,102.73,102.73,1168171648
1999-01-20,103.69,103.69,103.69,103.69,1240535424
1999-01-21,102.59,102.59,102.59,102.59,1168665472
1999-01-22,99.93,99.93,99.93,99.93,1250433920
1999-01-25,100.34,100.34,100.34,100.34,949946816
1999-01-26,100.38,100.38,100.38,100.38,1023474688
1999-01-27,100.81,100.81,100.81,100.81,1202541184
1999-01-28,102.04,102.04,102.04,102.04,1315971584
1999-01-29,102.6,102.6,102.6,102.6,1190879872
1999-02-01,104.21,104.21,104.21,104.21,1145552256
1999-02-02,103.52,103.52,103.52,103.52,1066758720
1999-02-03,102.36,102.36,102.36,102.36,1084299904
1999-02-04,102.42,102.42,102.42,102.42,1161075328
1999-02-05,101.98,101.98,101.98,101.98,1046159552
1999-02-08,101.27,101.27,101.27,101.27,894737792
1999-02-09,99.2,99.2,99.2,99.2,1053962752
1999-02-10,98.5,98.5,98.5,98.5,1105789696
1999-02-11,99.86,99.86,99.86,99.86,1117650048
1999-02-12,100.78,100.78,100.78,100.78,1148791168
1999-02-15,101.34,101.34,101.34,101.34,644641920
1999-02-16,101.93,101.93,101.93,101.93,933057216
1999-02-17,100.94,100.94,100.94,100.94,911375808
1999-02-18,101.18,101.18,101.18,101.18,1099305728
1999-02-19,101.7,101.7,101.7,101.7,1037080896
1999-02-22,102.97,102.97,102.97,102.97,1108502144
1999-02-23,104.32,104.32,104.32,104.32,1174024192
1999-02-24,105.38,105.38,105.38,105.38,1175716480
1999-02-25,103.6,103.6,103.6,103.6,1116318592
1999-02-26,103.32,103.32,103.32,103.32,962072704
1999-03-01,101.97,101.97,101.97,101.97,918570112
1999-03-02,102.43,102.43,102.43,102.43,909498240
1999-03-03,101.71,101.71,101.71,101.71,931608640
1999-03-04,102.74,102.74,102.74,102.74,1028478400
1999-03-05,104.83,104.83,104.83,104.83,1083512704
1999-03-08,104.16,104.16,104.16,104.16,904333248
1999-03-09,104.48,104.48,104.48,104.48,1014016576
1999-03-10,104.31,104.31,104.31,104.31,1112497664
1999-03-11,105.98,105.98,105.98,105.98,1271221632
1999-03-12,106.06,106.06,106.06,106.06,1137949056
1999-03-15,105.48,105.48,105.48,105.48,1366492928
1999-03-16,105.85,105.85,105.85,105.85,1078758528
1999-03-17,105.01,105.01,105.01,105.01,1014479040
1999-03-18,104.62,104.62,104.62,104.62,1000611392
1999-03-19,105.85,105.85,105.85,105.85,1535178880
1999-03-22,105.26,105.26,105.26,105.26,1123488256
1999-03-23,103.4,103.4,103.4,103.4,1030744064
1999-03-24,102.58,102.58,102.58,102.58,1153383296
1999-03-25,104.15,104.15,104.15,104.15,1134298368
1999-03-26,104.01,104.01,104.01,104.01,1205209856
1999-03-29,105.58,105.58,105.58,105.58,852470912
1999-03-30,105.17,105.17,105.17,105.17,1103668224
1999-03-31,106.06,106.06,106.06,106.06,1019928704
1999-04-01,106.09,106.09,106.09,106.09,858776192
1999-04-02,106.14,106.14,106.14,106.14,858776192
1999-04-05,106.28,106.28,106.28,106.28,82100
1999-04-06,107.47,107.47,107.47,107.47,970587648
1999-04-07,108.01,108.01,108.01,108.01,1071842624
1999-04-08,108.31,108.31,108.31,108.31,961299520
1999-04-09,108.92,108.92,108.92,108.92,1175122560
1999-04-12,108.47,108.47,108.47,108.47,914642176
1999-04-13,109.69,109.69,109.69,109.69,1026283712
1999-04-14,109.31,109.31,109.31,109.31,1120854784
1999-04-15,108.64,108.64,108.64,108.64,1184719488
1999-04-16,108.38,108.38,108.38,108.38,1474737152
1999-04-19,110.19,110.19,110.19,110.19,1019709248
1999-04-20,107.49,107.49,107.49,107.49,1028937280
1999-04-21,108.09,108.09,108.09,108.09,1218774912
1999-04-22,109.22,109.22,109.22,109.22,1270435072
1999-04-23,108.94,108.94,108.94,108.94,962694400
1999-04-26,109.85,109.85,109.85,109.85,855633024
1999-04-27,111.67,111.67,111.67,111.67,1028356864
1999-04-28,111.4,111.4,111.4,111.4,1060673280
1999-04-29,110.73,110.73,110.73,110.73,1040500160
1999-04-30,111.32,111.32,111.32,111.32,999761536
1999-05-03,111.91,111.91,111.91,111.91,395490272
1999-05-04,111.77,111.77,111.77,111.77,1014432896
1999-05-05,110.02,110.02,110.02,110.02,940348096
1999-05-06,109.53,109.53,109.53,109.53,1087068800
1999-05-07,108.99,108.99,108.99,108.99,986630912
1999-05-10,108.97,108.97,108.97,108.97,928672320
1999-05-11,109.24,109.24,109.24,109.24,949539840
1999-05-12,108.84,108.84,108.84,108.84,1046598528
1999-05-13,109.84,109.84,109.84,109.84,792265856
1999-05-14,107.79,107.79,107.79,107.79,1042122240
1999-05-17,105.84,105.84,105.84,105.84,833768832
1999-05-18,106.83,106.83,106.83,106.83,1036377088
1999-05-19,108.04,108.04,108.04,108.04,1291719296
1999-05-20,109.2,109.2,109.2,109.2,1261966848
1999-05-21,109.13,109.13,109.13,109.13,1253838976
1999-05-24,108.47,108.47,108.47,108.47,835389312
1999-05-25,107.29,107.29,107.29,107.29,1089526272
1999-05-26,107.57,107.57,107.57,107.57,1058053824
1999-05-27,106.47,106.47,106.47,106.47,1023527360
1999-05-28,106.77,106.77,106.77,106.77,1024794240
1999-05-31,107.36,107.36,107.36,107.36,290739136
1999-06-01,107.17,107.17,107.17,107.17,919583616
1999-06-02,108.14,108.14,108.14,108.14,841831808
1999-06-03,108.97,108.97,108.97,108.97,823871296
1999-06-04,109.8,109.8,109.8,109.8,771831936
1999-06-07,110.84,110.84,110.84,110.84,862836480
1999-06-08,110.57,110.57,110.57,110.57,933097088
1999-06-09,110.87,110.87,110.87,110.87,883323840
1999-06-10,109.56,109.56,109.56,109.56,964087360
1999-06-11,110.7,110.7,110.7,110.7,871145728
1999-06-14,110.28,110.28,110.28,110.28,1007304512
1999-06-15,110.47,110.47,110.47,110.47,832428224
1999-06-16,111.69,111.69,111.69,111.69,909634560
1999-06-17,112.02,112.02,112.02,112.02,901291968
1999-06-18,112.32,112.32,112.32,112.32,1289884032
1999-06-21,113.62,113.62,113.62,113.62,823806208
1999-06-22,113.11,113.11,113.11,113.11,835077504
1999-06-23,111.85,111.85,111.85,111.85,1047251200
1999-06-24,110.75,110.75,110.75,110.75,930832512
1999-06-25,110.22,110.22,110.22,110.22,824236224
1999-06-28,110.45,110.45,110.45,110.45,681239552
1999-06-29,110.42,110.42,110.42,110.42,1027699776
1999-06-30,110.26,110.26,110.26,110.26,1033344192
1999-07-01,112.75,112.75,112.75,112.75,1219897728
1999-07-02,113.34,113.19,113.24,113.19,809219456
1999-07-05,115.12,113.37,115.17,113.34,834183552
1999-07-06,114.77,115.25,115.25,114.15,987974592
1999-07-07,114.04,114.61,114.61,113.67,1006609280
1999-07-08,113.78,114.14,114.72,113.27,1048230272
1999-07-09,113.86,113.61,114.1,113.43,940916160
1999-07-12,114.18,113.93,114.81,113.9,963676032
1999-07-13,112.43,114.23,114.27,112.29,885420864
1999-07-14,112.9,112.57,113.48,112.48,902747968
1999-07-15,114.06,112.9,114.25,112.9,1044819264
1999-07-16,113.76,114.25,114.29,113.65,948858752
1999-07-19,113.43,113.92,113.92,113.39,745664448
1999-07-20,111,114.07,114.07,110.94,943713280
1999-07-21,109.57,110.88,110.88,109.25,1093385728
1999-07-22,108.92,109.63,109.88,108.43,1031520896
1999-07-23,107.72,108.88,109,107.63,963805888
1999-07-26,106.38,107.68,108.12,105.25,910516992
1999-07-27,107.23,106.21,107.59,106.2,882470144
1999-07-28,107.55,107.36,108,107.16,955288448
1999-07-29,105.17,107.61,107.62,105.06,1041076736
1999-07-30,107.08,105.21,107.15,105.2,876953920
1999-08-02,107.24,107.05,107.43,105.25,775695424
1999-08-03,106.84,107.24,107.54,106.24,835710848
1999-08-04,106.37,106.61,106.95,105.84,851144256
1999-08-05,103.98,106.21,106.21,103.59,980787008
1999-08-06,104.19,104.15,105.15,103.8,784990720
1999-08-09,105.17,104.28,105.4,104.21,646899072
1999-08-10,103.48,105.15,105.2,103.46,896504512
1999-08-11,104.32,103.62,104.8,103.61,719186752
1999-08-12,106.43,104.46,106.57,104.46,863179200
1999-08-13,108.22,106.37,108.25,105.95,909972096
1999-08-16,108.49,108.3,108.61,107.9,624218496
1999-08-17,108.69,108.43,109.33,108.1,827990016
1999-08-18,108.71,108.87,109.27,108.26,860731264
1999-08-19,107.53,108.73,108.83,107.26,748973568
1999-08-20,108.55,107.5,108.57,107.49,730349568
1999-08-23,110.13,108.53,110.25,108.53,736425600
1999-08-24,110.19,110.38,110.7,109.64,796288320
1999-08-25,111.52,110.08,111.86,110.02,1005601856
1999-08-26,111.72,111.61,112.36,111.3,910853696
1999-08-27,111.75,111.52,112.16,111.01,718329472
1999-08-30,111.54,111.72,111.76,111.33,242929056
1999-08-31,109.46,111.51,111.51,109.37,824646208
1999-09-01,110.03,109.44,110.11,109.38,898650624
1999-09-02,108.14,110.05,110.08,107.87,853508672
1999-09-03,110.75,108.13,110.81,108.12,869155392
1999-09-06,111.71,110.85,111.89,110.78,605493824
1999-09-07,111.16,111.7,112.27,111.16,746700992
1999-09-08,111,111.07,111.35,109.99,823682688
1999-09-09,111.91,111.01,112.06,110.81,885906304
1999-09-10,112.11,112.04,113.05,111.89,1093335808
1999-09-13,111.39,112.41,112.93,111.27,866042688
1999-09-14,110.47,111.43,112.22,110.35,1053460928
1999-09-15,110.13,110.82,111.07,109.54,1215631488
1999-09-16,109.49,110.11,110.18,109.13,1092670464
1999-09-17,109.7,109.6,110.18,109.5,1410641408
1999-09-20,110.32,109.79,110.81,109.79,1125910016
1999-09-21,108.97,110.42,110.62,108.67,1064972160
1999-09-22,108.36,108.9,108.91,107.5,1130283392
1999-09-23,109.5,108.38,109.94,108.38,1315974528
1999-09-24,108.04,108.78,108.88,107.81,1317994112
1999-09-27,109.63,108.07,109.75,108.07,1043729920
1999-09-28,108.21,109.66,109.77,108.16,940714624
1999-09-29,107.52,108.06,108.8,106.61,1365965568
1999-09-30,107.58,107.42,107.61,106.57,1241325696
1999-10-01,106.91,107.52,107.91,106.36,1266777984
1999-10-04,108.31,106.97,108.43,106.89,902303808
1999-10-05,108.94,108.25,109.02,108.24,930385920
1999-10-06,109.3,108.81,109.31,108.02,1152870016
1999-10-07,110.22,109.24,110.5,109.24,1172579584
1999-10-08,110.59,110.27,110.99,109.84,1042753664
1999-10-11,110.82,110.62,110.95,110.52,931535808
1999-10-12,109.48,110.8,110.99,109.35,1022704064
1999-10-13,108.36,109.35,109.35,108.12,1080013312
1999-10-14,107.58,108.25,108.73,107.47,1122786432
1999-10-15,105.58,107.49,107.49,104.69,1281955072
1999-10-18,104.79,105.48,105.48,103.83,772013440
1999-10-19,107.09,104.85,107.09,104.85,1072253440
1999-10-20,107.11,107.05,107.61,106.73,1102182912
1999-10-21,106.48,107.08,107.45,105.76,1284995840
1999-10-22,108.67,106.59,108.67,106.59,1220923008
1999-10-25,108.04,108.66,109.5,107.72,955424640
1999-10-26,109.38,108.07,109.39,107.81,857871424
1999-10-27,109.15,109.26,109.38,108.16,941972224
1999-10-28,110.96,109.17,111.14,108.78,1261061504
1999-10-29,112.87,110.88,113.15,110.88,1322657664
1999-11-01,113.03,112.76,113.12,112.35,491382784
1999-11-02,112.96,112.94,112.97,111.99,1004893120
1999-11-03,113.61,112.93,113.92,112.56,1050701760
1999-11-04,114.59,113.57,114.73,113.53,1209856256
1999-11-05,114.84,114.51,115.27,114.15,1186396928
1999-11-08,115.11,114.69,115.36,114.34,975500800
1999-11-09,115.62,115.23,116.68,115.23,1198274176
1999-11-10,116.19,115.62,116.33,115.25,1063239232
1999-11-11,117.76,116.23,117.76,116.21,1367171712
1999-11-12,117.66,117.79,118.35,117.14,1286572800
1999-11-15,118.74,117.69,118.86,117.69,1121330688
1999-11-16,119.35,118.68,119.37,118.22,1390121984
1999-11-17,119.04,119.28,119.75,118.48,1623797760
1999-11-18,120.13,118.92,120.28,118.63,1622842752
1999-11-19,119.77,120.23,120.6,119.21,1817811200
1999-11-22,118.42,119.73,120.55,118.27,1215657088
1999-11-23,119.22,118.41,119.72,118.32,1391610624
1999-11-24,119.34,119.42,119.78,118.45,1185733376
1999-11-25,121.82,119.33,121.84,119.33,1258310912
1999-11-26,122.38,121.93,122.94,121.93,1288571392
1999-11-29,122.52,122.21,123.48,121.98,1049109504
1999-11-30,120.85,122.34,122.34,120.43,1428867200
1999-12-01,121.82,120.76,121.96,120.27,1115764224
1999-12-02,122.41,122.09,122.56,121.9,1495035136
1999-12-03,124.89,122.57,124.96,122.57,1407552000
1999-12-06,124.29,124.88,125.21,123.78,1067567168
1999-12-07,124.93,124.3,125.56,124.12,1330439040
1999-12-08,124.64,124.73,124.79,123.97,1236323200
1999-12-09,125.25,124.59,125.51,124.46,1593603584
1999-12-10,124.87,125.23,125.48,124.39,1436479616
1999-12-13,125.51,125.02,125.76,124.84,1136638592
1999-12-14,125.94,125.42,126.59,124.93,1561108736
1999-12-15,124.69,125.87,125.88,124.05,1395223552
1999-12-16,125.16,124.56,125.54,124.56,1299543040
1999-12-17,126.28,125.1,126.75,125.1,1558131840
1999-12-20,127.07,126.25,129.16,126.14,967132160
1999-12-21,126.72,127.01,127.01,126.32,966264512
1999-12-22,127.88,126.76,128.44,126.76,757632000
1999-12-23,129.85,127.96,130.05,127.96,633942912
1999-12-24,130.5,129.95,130.65,129.95,81505480
1999-12-27,130.83,130.52,131.8,130.52,386535328
1999-12-28,131.18,130.79,131.33,130.45,295151488
1999-12-29,131.84,131.23,132.06,131,486168704
1999-12-30,133.69,131.79,134.02,131.79,479990208
1999-12-31,133.69,131.79,134.02,131.79,479990208
2000-01-03,132.91,133.51,135.56,132.91,502055552
2000-01-04,127.72,132.86,132.86,127.14,1165069824
2000-01-05,124.55,127.39,127.39,123.88,1249951488
2000-01-06,123.95,124.61,125.13,123.12,1113761408
2000-01-07,126.76,124.05,126.92,124.05,1532679040
2000-01-10,128.58,126.91,129.61,126.91,1307103744
2000-01-11,127.75,128.62,129.05,127.07,1352472064
2000-01-12,127.63,127.57,127.66,125.96,1258233088
2000-01-13,128.43,127.69,129.59,127.64,1520493440
2000-01-14,131.57,128.87,131.74,128.87,1774921600
2000-01-17,132.54,131.62,132.74,131.15,1516304768
2000-01-18,129.5,132.45,132.75,129.42,1642119936
2000-01-19,129.14,129.39,129.4,128.19,1541361280
2000-01-20,128.96,129.14,130.25,128.74,1878776320
2000-01-21,128.44,128.87,129.25,127.59,1747305216
2000-01-24,128.79,128.67,130.72,128.67,1206621952
2000-01-25,126.48,128.56,128.56,126.46,1407261312
2000-01-26,127.95,126.58,128.38,126.58,1590593408
2000-01-27,129.78,127.89,129.91,127.89,1470984832
2000-01-28,129.56,129.81,131.32,129.03,1686178048
2000-01-31,127.07,129.45,129.45,126.85,1614358912
2000-02-01,129.19,127.55,129.62,127.55,1917465856
2000-02-02,130.96,128.97,130.98,128.97,1977391616
2000-02-03,132.75,131.14,132.78,131.1,2697882368
